folder_name,gps_speed,ground_truth_dist,predicted_dist_raw,predicted_dist_filtered
20260212043903_444,1.21,0.8281160171774716,790.2096247017028,790.2096247017028
20260212043903_856,1.21,0.829994228541286,786.8167108987757,786.8167108987757
20260212043904_268,1.1,0.8302434150131506,787.4952936593611,787.4952936593611
20260212043904_680,1.1,0.8332072228479863,789.5313469549416,789.5313469549416
20260212043905_094,1.1,0.8330683593235083,794.7900583356542,794.7900583356542
20260212043905_505,1.11,0.8326145231792184,783.9327341662877,783.9327341662877
20260212043905_918,1.11,0.8352242634280929,786.3071386758039,786.3071386758039
20260212043906_328,1.27,0.8375957712282603,788.5131678002392,788.5131678002392
20260212043906_739,1.27,0.824284488673561,793.6025385046297,793.6025385046297
20260212043907_149,1.27,0.8220166277019766,812.4328677165615,812.4328677165615
20260212043907_562,0.95,0.8199115663826552,793.772825376804,793.772825376804
20260212043907_974,0.95,0.8176273577965938,793.2635535799972,793.2635535799972
20260212043908_384,1.33,0.8142532881348896,835.505346745399,793.772825376804
20260212043908_797,1.33,0.8106646372876782,792.5853045865416,792.5853045865416
20260212043909_209,1.22,0.8043909010151287,784.2723285287268,784.2723285287268
20260212043909_626,1.22,0.8028841011912797,778.6737177717508,778.6737177717508
20260212043910_038,1.22,0.8011884488382759,770.5310223182948,770.5310223182948
20260212043910_449,2.96,0.8064793777622116,785.9687860855703,785.9687860855703
20260212043910_859,2.96,0.8110727741179473,829.5677452964469,829.5677452964469
20260212043911_272,5.99,0.8163158406348918,783.084505715556,783.084505715556
20260212043911_699,5.99,0.8284679877343573,788.343826665151,788.343826665151
20260212043912_142,5.99,0.8391358387355061,811.0760445897039,811.0760445897039
20260212043912_562,7.74,0.8391358387355061,796.6561609272641,796.6561609272641
20260212043912_996,7.74,0.8391358387355061,801.7455316316546,801.7455316316546
20260212043913_407,7.53,0.8391358387355061,795.9775781666787,795.9775781666787
20260212043913_821,7.53,0.8391358387355061,788.6962742785778,788.6962742785778
20260212043914_231,7.6,0.8391358387355061,779.3656020726579,779.3656020726579
20260212043914_644,7.6,0.8391358387355061,795.1429205299406,795.1429205299406
20260212043915_057,7.6,0.8585698918657514,804.4732819492574,804.4732819492574
20260212043915_467,9.87,0.830501256553632,829.4119348135011,829.4119348135011
20260212043915_878,9.87,0.8158314075810413,770.2042809046031,770.2042809046031
20260212043916_289,9.33,0.8124134503069435,793.1068311077138,793.1068311077138
20260212043916_701,9.33,0.8145038097138537,775.2937637338283,775.2937637338283
